time[sec],input,output
4.35131,1,83.81769025
4.40132,1,84.86750405
4.45134,5,85.83878659
4.50136,5,86.81790949
4.55137,1,87.84940082
4.60138,5,88.86780219
4.65139,1,89.88620338
4.70142,1,90.88104105
4.75144,1,91.80518783
4.80144,5,92.66912581
4.85148,1,93.54353751
4.9015,1,94.44151273
4.9515,5,95.26879722
5.0015,5,96.13011878
5.05152,5,97.06735552
5.10152,5,98.07790797
5.15156,1,99.13557069
5.20156,1,100.1592131
5.25156,1,101.125246
5.30157,5,102.0179888
5.35158,1,102.9185718
5.40158,5,103.8322534
5.4516,1,104.7433186
5.50161,1,105.6700902
5.55164,1,106.5287871
5.60166,1,107.3272753
5.65168,5,108.0629298
5.7017,5,108.8430955
5.75172,1,109.730597
5.80172,1,110.6285638
5.85175,1,111.4663219
5.90177,1,112.2333975
5.95178,1,112.9454884
6.0018,5,113.5973706
6.05183,1,114.30947
6.10184,1,115.0686882
6.15186,1,115.7545993
6.20187,1,116.3907751
6.25189,1,116.9588765
6.30189,1,117.4850915
6.35189,5,117.9720366
6.40192,5,118.5375301
6.45194,5,119.2836584
6.50196,5,120.152829
6.55197,5,121.1188703
6.60198,5,122.126798
6.65198,5,123.1844693
6.70199,1,124.2814019
6.75201,5,125.3416894
6.80203,1,126.3967444
6.85207,5,127.4387093
6.90209,1,128.4492532
6.95209,5,129.4624135
7.0021,1,130.4651085
7.05212,1,131.4547051
7.10214,5,132.3814767
7.15214,5,133.3213382
7.20216,1,134.3240332
7.25217,1,135.3162461
7.30218,5,136.2325439
7.3522,5,137.1645566
7.40222,5,138.1672432
7.45225,1,139.2118245
7.50226,5,140.2485483
7.55228,5,141.2695659
7.60232,5,142.3220045
7.65234,1,143.4137046
7.70235,5,144.476617
7.75238,1,145.5264222
7.80241,1,146.5657623
7.85243,5,147.523955
7.90243,1,148.4795228
7.95245,5,149.4429479
8.00245,5,150.4037483
8.05248,1,151.4273907
8.1025,1,152.4484083
8.15253,1,153.3804038
8.20253,5,154.2574318
8.25257,5,155.1370845
8.30259,1,156.1109749
8.35263,5,157.0822575
8.40263,5,158.0509152
8.45263,5,159.0876305
8.50266,5,160.1505428
8.55268,1,161.229153
8.60268,5,162.2972978
8.65269,5,163.3392628
8.7027,1,164.4257303
8.75271,5,165.4860178
8.80271,1,166.5279656
8.85274,5,167.5463755
8.90276,5,168.5621606
8.95278,1,169.6224482
9.00278,5,170.6670209
9.05278,5,171.7037533
9.1028,1,172.771881
9.1528,1,173.8164709
9.20282,5,174.7955938
9.25283,1,175.7747338
9.30283,1,176.7538567
9.35286,5,177.6649219
9.40286,1,178.5681297
9.45287,1,179.4896603
9.5029,1,180.3405083
9.55292,5,181.1285312
9.60293,5,181.9453418
9.65296,5,182.8668724
9.70297,1,183.8669425
9.75298,1,184.8408328
9.80299,1,185.7597556
9.853,1,186.6001385
9.90301,5,187.3829118
9.95303,1,188.1944899
10.00306,5,189.0374805
10.05306,5,189.9066509
10.10307,5,190.8543785
10.15308,5,191.8701463
10.2031,5,192.9199689
10.25312,1,194.0064363
10.30312,1,195.0693486
10.35315,5,196.0615615
10.40316,1,197.0485417
10.45317,5,198.0302894
10.50319,1,198.9989472
10.5532,5,199.9780872
10.6032,5,200.9519774
10.65323,5,201.986085
10.70324,1,203.0568377
10.75325,1,204.1040352
10.80326,5,205.0700853
10.85328,5,206.0439755
10.9033,1,207.0702258
10.95332,5,208.0912434
11.00335,1,209.112261
11.05339,1,210.101866
11.1034,1,211.0312538
11.1534,5,211.8899593
11.20344,1,212.7643625
11.25346,1,213.6597129
11.30348,5,214.484381
11.3535,5,215.3430864
11.40351,5,216.2724743
11.45355,5,217.2804019
11.50356,1,218.3302243
11.55356,1,219.3590821
11.60359,1,220.3225073
11.65362,5,221.2204827
11.70363,1,222.1289231
11.75364,5,223.0426132
11.80368,1,223.9562863
11.85369,1,224.8909066
11.90372,1,225.7469871
11.95373,1,226.5454753
12.00373,5,227.2811385
12.05375,5,228.0639117
12.10378,1,228.9409397
12.15379,1,229.838915
12.2038,1,230.6635831
12.25382,1,231.4254261
12.30383,1,232.127052
12.35384,5,232.773693
12.40384,1,233.4753188
12.45386,1,234.2345371
12.50387,1,234.9125907
12.55388,1,235.5382842
12.6039,1,236.1037779
12.65391,1,236.6142867
12.70392,5,237.0933829
12.75396,5,237.6562516
12.80396,5,238.3892899
12.85398,5,239.2584605
12.90401,5,240.2140283
12.95405,5,241.2167232
13.00407,5,242.2717783
13.05408,1,243.3503883
13.10408,5,244.4028185
13.15409,1,245.4473911
13.20409,5,246.4762661
13.25411,1,247.4894263
13.30413,5,248.4895137
13.35415,1,249.4843514
13.40416,1,250.4739393
13.45418,5,251.3954869
13.50419,5,252.319625
13.55421,1,253.3197124
13.60424,1,254.3066926
13.65424,5,255.2151332
13.70425,5,256.1392884
13.75428,5,257.1262687
13.80432,1,258.1708413
13.85433,5,259.2049489
13.90437,5,260.2102688
13.95441,5,261.2705564
14.00442,1,262.3570238
14.05443,5,263.4146865
14.10443,1,264.4697416
14.15444,1,265.5117064
14.20444,5,266.4646494
14.25444,1,267.4254497
14.30448,5,268.3810174
14.35452,5,269.3392102
14.40453,1,270.3628526
14.45453,1,271.3707802
14.50456,1,272.3080082
14.55457,5,273.1745712
14.60459,5,274.0489742
14.6546,1,275.0123994
14.70464,5,275.9627347
14.75467,5,276.9313924
14.80469,5,277.9602673
14.85469,5,279.0100726
14.9047,1,280.1017898
14.95471,5,281.1673098
15.00473,5,282.2092749
15.05475,1,283.2931175
15.10478,5,284.3586376
15.15478,1,285.3901374
15.20479,5,286.4163704
15.2548,5,287.4321727
15.30481,1,288.4845856
15.35482,5,289.5291926
15.40485,5,290.5658907
15.45486,1,291.6261783
15.50488,1,292.6760006
15.5549,5,293.6525329
15.60491,1,294.6211907
15.65494,1,295.592439
15.70494,5,296.4904315
15.75497,1,297.4067293
15.80498,1,298.3204024
15.85498,1,299.1607852
15.90502,5,299.9435586
15.95502,5,300.7498869
16.00507,5,301.6688096
16.05509,1,302.6479325
16.10512,1,303.63493
16.15514,1,304.5407627
16.20516,1,305.3758959
16.25518,5,306.1482041
16.30519,1,306.9519418
16.3552,5,307.7844503
16.4052,5,308.6352983
16.4552,5,309.5856163
16.50521,5,310.5857037
16.55522,5,311.6302763
16.60524,1,312.714119
16.65526,1,313.7718159
16.70528,5,314.7561542
16.7553,1,315.7484013
16.80532,5,316.7196496
16.85534,1,317.6935571
16.90535,5,318.6595899
16.95537,5,319.6282476
17.00538,5,320.654515
17.05539,1,321.7121777
17.10541,1,322.7541255
17.15543,5,323.7227832
17.20548,5,324.6809758
17.25548,1,325.709868
17.3055,5,326.7177956
17.35552,1,327.7230984
17.40555,1,328.7231515
17.45557,1,329.6420742
17.50558,5,330.4929222
17.55561,1,331.3673253
17.60563,1,332.2496031
17.65565,5,333.0716462
17.70566,5,333.9120292
