y_order,u_order,dead_time,,a_1,a_2,a_3,a_4,a_5,a_6,a_7,a_8,a_9,a_10,b_1,b_2,b_3,b_4,b_5,b_6,b_7,b_8,b_9,b_10,
6,3,1,,-1.02404,0.179434,-0.027123,0.029937,-0.0161812,-0.0291638,0,0,0,0,0.334389,0.270531,-0.0535336,0,0,0,0,0,0,0,
6,4,1,,-1.02741,0.201509,-0.0377979,0.0216062,-0.0107725,-0.0315502,0,0,0,0,0.334393,0.270104,-0.0481732,0.00921488,0,0,0,0,0,0,
6,5,1,,-1.02812,0.193294,0.00540447,-0.00149155,-0.0195873,-0.0290734,0,0,0,0,0.334035,0.269836,-0.0501721,0.0182959,0.0160842,0,0,0,0,0,
6,6,1,,-1.01745,0.184651,-0.0303671,0.193315,-0.135864,-0.050638,0,0,0,0,0.335155,0.271561,-0.046596,0.0121596,0.05923,0.0707312,0,0,0,0,
6,7,1,,-1.03346,0.203643,-0.0321159,0.207443,-0.230062,0.0165913,0,0,0,0,0.334267,0.266292,-0.048832,0.0151107,0.0630197,0.0501209,-0.0301669,0,0,0,
6,8,1,,-1.06823,0.220058,-0.0400035,0.207391,-0.226896,0.0391432,0,0,0,0,0.332808,0.254198,-0.0655857,0.00405774,0.0504121,0.042622,-0.030754,0.02839,0,0,
6,9,1,,-1.03393,0.160749,-0.0268015,0.202573,-0.227164,0.0640319,0,0,0,0,0.333804,0.264776,-0.0647101,-0.0111122,0.0411853,0.0325916,-0.0294649,0.0351943,0.0272452,0,
6,10,1,,-1.05677,0.158027,0.0064902,0.203022,-0.234376,0.0505943,0,0,0,0,0.334204,0.256893,-0.0799598,-0.0122028,0.0499931,0.0370404,-0.031911,0.0290705,0.0215536,-0.0205142,
7,1,1,,-1.58088,1.15117,-0.805199,0.568293,-0.358706,0.132706,-0.0258311,0,0,0,0.335068,0,0,0,0,0,0,0,0,0,
7,2,1,,-0.905553,0.102816,-0.0565867,0.0365486,0.00637293,-0.0742855,0.0246551,0,0,0,0.338945,0.309861,0,0,0,0,0,0,0,0,
7,3,1,,-1.03735,0.16823,0.0128398,-0.0125475,0.0375264,-0.0936425,0.0379685,0,0,0,0.334212,0.2653,-0.065866,0,0,0,0,0,0,0,
7,4,1,,-1.04027,0.187531,0.00333834,-0.0194325,0.041779,-0.095175,0.0376387,0,0,0,0.334197,0.264917,-0.0611868,0.0079937,0,0,0,0,0,0,
7,5,1,,-1.04018,0.185608,0.0151649,-0.0251453,0.0373592,-0.0922873,0.0363597,0,0,0,0.334077,0.264958,-0.0614087,0.0108294,0.00490093,0,0,0,0,0,
7,6,1,,-1.02751,0.16959,-0.0242792,0.186442,-0.0748551,-0.135932,0.048245,0,0,0,0.336005,0.26728,-0.0591232,0.000224262,0.0489231,0.0786321,0,0,0,0,
7,7,1,,-1.05654,0.193172,-0.0237424,0.208649,-0.210422,-0.0538251,0.0645402,0,0,0,0.334991,0.257151,-0.0675827,0.000192493,0.0521061,0.0474718,-0.0498302,0,0,0,
7,8,1,,-1.06751,0.216769,-0.0382219,0.207829,-0.224243,0.0258365,0.00954509,0,0,0,0.333067,0.254312,-0.0663254,0.00314462,0.0502308,0.043222,-0.0335745,0.0248352,0,0,
7,9,1,,-1.03012,0.146987,-0.0200396,0.203992,-0.217623,0.0168467,0.0344373,0,0,0,0.334768,0.265591,-0.0673277,-0.0148685,0.040247,0.0344471,-0.0396007,0.0226105,0.0281788,0,
7,10,1,,-1.05444,0.151916,0.00850692,0.203918,-0.230175,0.0296505,0.0156658,0,0,0,0.334657,0.257486,-0.0807592,-0.0138903,0.0492987,0.0377267,-0.036549,0.0235235,0.0221008,-0.0200295,
8,1,1,,-1.59275,1.18136,-0.855138,0.637583,-0.45683,0.279782,-0.216851,0.114407,0,0,0.331391,0,0,0,0,0,0,0,0,0,
8,2,1,,-0.918917,0.134146,-0.105649,0.104063,-0.0892375,0.06768,-0.158986,0.110184,0,0,0.335162,0.309294,0,0,0,0,0,0,0,0,
8,3,1,,-1.02015,0.183171,-0.0496392,0.0629649,-0.0608203,0.0461617,-0.140175,0.105112,0,0,0.331641,0.274936,-0.0508599,0,0,0,0,0,0,0,
8,4,1,,-1.01132,0.132401,-0.0273423,0.0847597,-0.0762956,0.0562909,-0.147065,0.109597,0,0,0.331659,0.276371,-0.0626018,-0.0212927,0,0,0,0,0,0,
8,5,1,,-1.01134,0.132958,-0.0307779,0.0864422,-0.0750687,0.0555228,-0.14678,0.109648,0,0,0.331691,0.276369,-0.0625327,-0.022119,-0.00141788,0,0,0,0,0,
8,6,1,,-1.00715,0.1298,-0.0496684,0.201662,-0.129983,0.0119653,-0.118448,0.0970425,0,0,0.333103,0.27645,-0.0609331,-0.0246136,0.0259063,0.0476468,0,0,0,0,
8,7,1,,-1.02558,0.143121,-0.0456151,0.21718,-0.216309,0.0574601,-0.0988842,0.0914498,0,0,0.332877,0.269459,-0.0670288,-0.024475,0.0300945,0.0295012,-0.0322824,0,0,0,
8,8,1,,-1.02415,0.139838,-0.0454699,0.218537,-0.213253,0.0443792,-0.0912142,0.0926205,0,0,0.333051,0.269961,-0.0674921,-0.02569,0.0294734,0.0302816,-0.0348792,-0.00445402,0,0,
8,9,1,,-1.03486,0.163137,-0.0746926,0.232134,-0.212033,0.0720501,-0.209781,0.172082,0,0,0.330881,0.268877,-0.0672145,-0.0273556,0.024398,0.0302812,-0.0281749,-0.0267034,-0.0362527,0,
8,10,1,,-1.05323,0.165713,-0.0485415,0.230813,-0.223987,0.0777113,-0.201646,0.15615,0,0,0.331278,0.262387,-0.0776362,-0.025481,0.0326848,0.0329586,-0.0273763,-0.0213556,-0.0351171,-0.0157376,
9,1,1,,-1.60964,1.2171,-0.898944,0.692639,-0.52414,0.366797,-0.340286,0.270572,-0.0921455,0,0.327907,0,0,0,0,0,0,0,0,0,
9,2,1,,-0.93171,0.157289,-0.12812,0.127718,-0.115158,0.0985103,-0.199913,0.161106,-0.030071,0,0.333922,0.306024,0,0,0,0,0,0,0,0,
9,3,1,,-1.07256,0.235265,-0.0667577,0.0863016,-0.0918499,0.0873012,-0.197537,0.182147,-0.0465531,0,0.32847,0.258927,-0.067174,0,0,0,0,0,0,0,
9,4,1,,-1.06377,0.17695,-0.0410242,0.112855,-0.111183,0.100601,-0.207602,0.190045,-0.0481108,0,0.328408,0.260113,-0.0815217,-0.0251317,0,0,0,0,0,0,
9,5,1,,-1.06679,0.17422,-0.0090313,0.0988324,-0.125424,0.110932,-0.214529,0.195142,-0.0513963,0,0.327937,0.259143,-0.0833502,-0.0175586,0.0135574,0,0,0,0,0,
9,6,1,,-1.06408,0.172582,-0.0288907,0.218159,-0.182767,0.0670273,-0.1866,0.183853,-0.0524909,0,0.329252,0.258768,-0.0822594,-0.0201503,0.0417597,0.0491786,0,0,0,0,
9,7,1,,-1.07062,0.177194,-0.0282743,0.226494,-0.232366,0.0907137,-0.16815,0.172534,-0.0477817,0,0.329451,0.255945,-0.0841919,-0.0204752,0.042951,0.037629,-0.0203253,0,0,0,
9,8,1,,-1.06667,0.167416,-0.0239535,0.228093,-0.226706,0.0618854,-0.152694,0.177874,-0.0490121,0,0.329999,0.257115,-0.0853121,-0.0227343,0.0428401,0.0391504,-0.0261604,-0.0104383,0,0,
9,9,1,,-1.06753,0.178599,-0.0461826,0.235123,-0.223577,0.0781512,-0.22365,0.218998,-0.0419134,0,0.32902,0.258256,-0.0825468,-0.0244068,0.0373468,0.0376334,-0.0228309,-0.0245402,-0.0244042,0,
9,10,1,,-1.06466,0.178278,-0.0528032,0.24182,-0.232347,0.0814378,-0.217188,0.210248,-0.0374565,0,0.329994,0.259546,-0.0814993,-0.02462,0.0355866,0.0357008,-0.0263265,-0.0232255,-0.0251538,-0.00200939,
10,1,1,,-1.6106,1.21949,-0.900834,0.697422,-0.533359,0.377563,-0.352375,0.290047,-0.117876,0.0143911,0.327747,0,0,0,0,0,0,0,0,0,
10,2,1,,-0.922765,0.137419,-0.105325,0.10592,-0.0925772,0.0733361,-0.170019,0.122498,0.0158831,-0.0265224,0.335698,0.307544,0,0,0,0,0,0,0,0,
10,3,1,,-1.06185,0.215301,-0.0463514,0.0664711,-0.0709131,0.0637467,-0.169442,0.145387,-0.00287783,-0.0250362,0.330213,0.261142,-0.0661063,0,0,0,0,0,0,0,
10,4,1,,-1.04395,0.117278,0.00158739,0.0993891,-0.0921869,0.0746607,-0.173562,0.142593,0.0125588,-0.0352533,0.330813,0.263889,-0.0878258,-0.0387702,0,0,0,0,0,0,
10,5,1,,-1.04665,0.116617,0.0242171,0.0893924,-0.103184,0.0829256,-0.179489,0.147525,0.00862265,-0.034381,0.330416,0.263074,-0.0890212,-0.0328774,0.00999761,0,0,0,0,0,
10,6,1,,-1.03384,0.0888059,0.0115427,0.241738,-0.16637,0.010767,-0.125793,0.108855,0.0375979,-0.0515448,0.333104,0.2647,-0.0902016,-0.0431432,0.044995,0.0646701,0,0,0,0,
10,7,1,,-1.0401,0.0942526,0.0113135,0.249099,-0.210737,0.0324636,-0.110198,0.0997952,0.0405747,-0.0508391,0.333213,0.262111,-0.0917948,-0.0430736,0.0460536,0.0543002,-0.0180628,0,0,0,
10,8,1,,-1.04021,0.0945156,0.0111943,0.249068,-0.21094,0.0335941,-0.110763,0.0994356,0.0407895,-0.0509302,0.333197,0.262074,-0.0917636,-0.0430167,0.046064,0.0542657,-0.0178108,0.000448585,0,0,
10,9,1,,-1.0399,0.104695,-0.014956,0.260127,-0.206747,0.0514875,-0.194995,0.144974,0.0549911,-0.0539649,0.332129,0.263792,-0.0886927,-0.0460826,0.039716,0.0536736,-0.0133959,-0.0162023,-0.0299277,0,
10,10,1,,-1.04088,0.108289,-0.0289825,0.281495,-0.222143,0.0556066,-0.199556,0.178988,0.0356271,-0.0591254,0.332438,0.264494,-0.089682,-0.0479884,0.0388947,0.0547642,-0.0161944,-0.0163399,-0.0224735,0.0127206,
