time[sec],input,output
21.7572,5,20.4683
21.8072,1,21.3062
21.8572,1,20.7832
21.9072,5,19.5261
21.9572,1,19.2125
22.0072,1,19.3168
22.0572,5,17.7986
22.1072,1,18.0085
22.1572,1,18.4271
22.2073,1,16.594
22.2573,5,15.6524
22.3073,5,15.8098
22.3573,5,18.2178
22.4073,1,19.4212
22.4573,1,19.5273
22.5074,1,18.1647
22.5574,1,16.5421
22.6074,5,15.4431
22.6574,1,15.8098
22.7074,5,16.5421
22.7575,5,16.7001
22.8074,5,18.7932
22.8575,5,19.9972
22.9075,5,20.8875
22.9575,1,21.4111
23.0075,1,20.7301
23.0575,5,19.4736
23.1075,1,19.4218
23.1576,5,19.2125
23.2076,1,19.4212
23.2576,5,19.2125
23.3076,5,19.1075
23.3577,5,20.4689
23.4077,1,20.94
23.4577,1,20.9394
23.5077,5,19.4218
23.5577,5,19.1075
23.6078,1,20.259
23.6578,5,20.1547
23.7078,1,19.8398
23.7578,1,19.841
23.8078,1,18.4796
